ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID,
yomm1242-1-16-1,,yomm1242-1,16,fɛɣa ən -lèèwə̀r,fɛɣa ən -lèèwə̀r,[],,['chan2019'],,False,False,,1,
yomm1242-1-17-1,,yomm1242-1,17,fɛɣa ən -nùɣa -li,fɛɣa ən -nùɣa -li,[],,['chan2019'],,False,False,,1,
yomm1242-1-18-1,,yomm1242-1,18,-li kp͡a ɡarɣa,-li kp͡a ɡarɣa,[],( ' 20 - 2 ' ),['chan2019'],,False,False,,1,
yomm1242-1-19-1,,yomm1242-1,19,nyə̌ŋ- kp͡a ɡarɣa,nyə̌ŋ- kp͡a ɡarɣa,[],( '20 - 1'),['chan2019'],,False,False,,1,
yomm1242-1-20-1,,yomm1242-1,20,ɡarɣa,ɡarɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-21-1,,yomm1242-1,21,ɡarɣa ən nyə̌ŋ-,ɡarɣa ən nyə̌ŋ-,[],,['chan2019'],,False,False,,1,
yomm1242-1-21-2,,yomm1242-1,21,nyə̌rɣə-,nyə̌rɣə-,[],,['chan2019'],,False,False,,1,
yomm1242-1-22-1,,yomm1242-1,22,ɡarɣa ən -li,ɡarɣa ən -li,[],,['chan2019'],,False,False,,1,
yomm1242-1-23-1,,yomm1242-1,23,ɡarɣa ən -ta,ɡarɣa ən -ta,[],,['chan2019'],,False,False,,1,
yomm1242-1-24-1,,yomm1242-1,24,ɡarɣa ən -nɛ̀ɛ̀sə̀,ɡarɣa ən -nɛ̀ɛ̀sə̀,[],,['chan2019'],,False,False,,1,
yomm1242-1-25-1,,yomm1242-1,25,ɡarɣa ən -nù,ɡarɣa ən -nù,[],,['chan2019'],,False,False,,1,
yomm1242-1-26-1,,yomm1242-1,26,ɡarɣa ən -lèèwə̀r,ɡarɣa ən -lèèwə̀r,[],,['chan2019'],,False,False,,1,
yomm1242-1-27-1,,yomm1242-1,27,ɡarɣa ən -nùɣa -li,ɡarɣa ən -nùɣa -li,[],,['chan2019'],,False,False,,1,
yomm1242-1-28-1,,yomm1242-1,28,-li k͡pa ɡarɣa ən (waa)fɛ̀ɣa,-li k͡pa ɡarɣa ən (waa)fɛ̀ɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-29-1,,yomm1242-1,29,nyə̌ŋ-k͡pa ɡarɣa ən (waa)fɛ̀ɣa,nyə̌ŋ-k͡pa ɡarɣa ən (waa)fɛ̀ɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-30-1,,yomm1242-1,30,ɡarɣa ən (waa)fɛ̀ɣa,ɡarɣa ən (waa)fɛ̀ɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-40-1,,yomm1242-1,40,ɡasə̀ri,ɡasə̀ri,[],,['chan2019'],,False,False,,1,
yomm1242-1-40-2,,yomm1242-1,40,ɡasə̀li,ɡasə̀li,[],,['chan2019'],,False,False,,1,
yomm1242-1-50-1,,yomm1242-1,50,ɡasə̀ri (waa)fɛ̀ɣa,ɡasə̀ri (waa)fɛ̀ɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-60-1,,yomm1242-1,60,ɡàsə̀ta,ɡàsə̀ta,[],,['chan2019'],,False,False,,1,
yomm1242-1-70-1,,yomm1242-1,70,ɡàsə̀tan (waa)fɛ̀ɣa,ɡàsə̀tan (waa)fɛ̀ɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-80-1,,yomm1242-1,80,ɡàsə̀nɛ̀ɛ̀sè,ɡàsə̀nɛ̀ɛ̀sè,[],,['chan2019'],,False,False,,1,
yomm1242-1-90-1,,yomm1242-1,90,ɡàsə̀nɛ̀ɛ̀sè (waa)fɛ̀ɣa,ɡàsə̀nɛ̀ɛ̀sè (waa)fɛ̀ɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-100-1,,yomm1242-1,100,wʊrɣʊ̀,wʊrɣʊ̀,[],pl. wʊrìi,['chan2019'],,False,False,,1,
yomm1242-1-200-1,,yomm1242-1,200,wʊrìi ìli,wʊrìi ìli,[],,['chan2019'],,False,False,,1,
yomm1242-1-200-2,,yomm1242-1,200,wətəri,wətəri,[],,['chan2019'],,False,False,,1,
yomm1242-1-1000-1,,yomm1242-1,1000,wʊrɣʊ wʊrɣʊ nɔr fɛ̀ɣa,wʊrɣʊ wʊrɣʊ nɔr fɛ̀ɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-1000-2,,yomm1242-1,1000,fəner,fəner,[],,['chan2019'],,False,False,,1,
yomm1242-1-2000-1,,yomm1242-1,2000,wʊrɣʊ wʊrɣʊ nɔr ɡarɣa,wʊrɣʊ wʊrɣʊ nɔr ɡarɣa,[],,['chan2019'],,False,False,,1,
yomm1242-1-2000-2,,yomm1242-1,2000,fəna àli,fəna àli,[],,['chan2019'],,False,False,,1,
