,ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SourceFile,Contributor,Base.Chan,Base.Mamta,Comment.Chan,Comment.Mamta
4,bitt1240-1,"Phsing (Bit), China, Vietnam",bitt1240,Bit,bgk,Eurasia,21.3474,101.916,Austroasiatic,Phsing.htm,"Dr. Gao Yongqi, Suzhou University, China, October 13, 2006.",NA,decimal,"Pshing has recorded Mon-Khmer numerals from one to ten. Now, they use Tai numeral system completely.",
4,blan1242-1,"Bulang (Plang), China",blan1242,Blang,blr,Eurasia,22.0092,99.7405,Austroasiatic,Bulang.htm,"Prof. Yan Qixiang, Chinese Academy of Social Sciences, Beijing, China, April 17, 1991.",NA,decimal,Bulang borrowed numerals after ten from Tai language.,
4,bodo1267-1,"Gadaba (Gutob), India",bodo1267,Bodo Gadaba,gbj,Eurasia,18.3857,82.771,Austroasiatic,Gadaba.htm,"Mr. Herold Rajan, Asha Kiran Society of India, India, June 19, 2008.",NA,vigesimal,"Gadaba still has two Munda numbers: 1 mujro and 2 umbar, the rest of the numbers are borrowed from Deisya/Oriya. ''Bodo'' means big in Oriya. In Ollar Gadaba, the Dravidian variety is called San Gadaba means small Gadaba.",Borrowing at lexical level from IA.
4,bodo1267-2,"Bodo Gadaba (Guotb), India",bodo1267,Bodo Gadaba,gbj,Eurasia,18.3857,82.771,Austroasiatic,Gutob.htm,"Dr. Suhnu R. Sharma, 16 April, 1990 Deccan Research College, Pune, India",NA,vigesimal,"Korwa still retained Munda numerals from 1 to 3, Indo-Aryan numerals were borrowed from four onwards.",
4,boly1239-1,"Palyu (Lai), China",boly1239,Bolyu,ply,Eurasia,24.7013,104.955,Austroasiatic,Palyu.htm,"Liang Min, 1984. A Grammatical Sketch of Lai language, Minzuyuwen,",NA,decimal,Palyu numeral system is similar to Bugan numeral system.,
4,bond1245-1,"Bonda (Bondo) / Remo, India",bond1245,Bondo,bfw,Eurasia,19.1512,83.8141,Austroasiatic,Remo.htm,"Dr. Rajashree Swain, Department of Linguistics, Berhampur University, Orissa, India, August 5, 2018.",NA,vigesimal,"Bonda (Bondo) or Remo still has kept Munda numerals from 1 to 8, Oriya numerals were borrowed from nine onwards. Notes on phonetic systemsː 1. vowelsː ɑ ə ʌ i ɪ u ʊ e ɛ o ɔ, õ ũ ɑ̃ ĩ ẽ 2. Consonantsː k kʰ ɡ ŋ ɲ ʈ ʈʰ ɖ ɽ ɳ t tʰ d n p pʰ b m j r ɾ l w s ʔ c = IPA [tʃ], j = IPA [dʒ]",
4,bond1245-2,"Remo (Bondo/ Bonda), India",bond1245,Bondo,bfw,Eurasia,19.1512,83.8141,Austroasiatic,Remo.htm,"Dr. Hannah Alex, Bible Society of India, Orissa, India, January 23, 2007.",NA,vigesimal,"Remo still has Munda numerals from 1 to 8, Oriya numerals were borrowed from nine onwards.",
4,buga1247-1,"Bugan, China",buga1247,Bugan,bbh,Eurasia,23.6124,104.963,Austroasiatic,Bugan-Mk.htm,"Prof. Li Jinfang, Central National University, Beijing, China, May 20, 1998",decimal,decimal,Bugan numeral system is decimal.,
4,bulo1242-1,"Bulo Stieng, Vietnam",bulo1242,Bulo Stieng,sti,Eurasia,11.9777,106.798,Austroasiatic,Stieng.htm,"Dr. David Thomas, Summer Institute of Linguistics, November 2, 1994.",decimal,decimal,Steing numeral system is decimal.,
4,carn1240-1,"Car Nicobarese, India",carn1240,Car Nicobarese,caq,Eurasia,9.18853,92.7671,Austroasiatic,Car-Nicobar.htm,"Prof. Gerard Diffloth, University of Chicago, USA. January 18, 1983. Extracted from Jean Critchfield Braine's paperː Numeration in Car Nicobarese, Austroastiac Number Systems. 1976, Mouton. Reference sourceː Braine, jean Critschfield, 1970. Nicobarese Grammar (Car dialect), Ann Arbor, Michigan, USA",decimal,decimal,Car Nicobarese numeral system is decimal.,
4,cent1989-1,"Khmer, Cambodia",cent1989,Central Khmer,khm,Eurasia,12.0515,105.015,Austroasiatic,Khmer-Central.htm,"Prof. Gerard Diffloth, University of Chicago, USA, January 18, 1983. Extracted from Philip N. Jenner, 1976. Les Noms de Nombre en Khmer.",quinary,NA,"Khmer numerals 1 to 9 are based on a system of five, the decades 30 to 90, 100 and 1000 are borrowed from Thai.","Traditional quinary-decimal system till 30, further borrowed from Thai."
4,cent1990-1,"Mūöt (Nancowry) Nicobar, India",cent1990,Central Nicobarese,ncb,Eurasia,7.94812,93.3921,Austroasiatic,Muot-Nancowry.htm,"Dr. V.R. Rajasingh, Central Institute of Indian Languages, Manasagangothri, Mysore, India, July 18, 2018.",decimal,NA,"Mūöt Nicobarese (formerly called Nancowry) has a decimal numeral system. This language is spoken in Nancowry Islands, Nicobar group of Islands, India. There are some missing terms needed.",Data is limited till 10 and for 20.
4,cent1992-1,"Central Mnong, Vietnam, Cambodia",cent1992,Central Mnong,cmo,Eurasia,12.6313,107.301,Austroasiatic,Mnong-Central.htm,"Mr. Todd Bequette, SIL International, October 16, 2008",decimal,decimal,"Central Mnong numeral system is decimal. The data was from Bu Sra Commune in Eastern Mondulkiri province, Cambodia.",Use of connective particle between atom and base.
4,cent1992-2,"Central Mnong, Vietnam, Cambodia",cent1992,Central Mnong,cmo,Eurasia,12.6313,107.301,Austroasiatic,Mnong-Central.htm,"Mr. Richard L. Phillips, Ms. Diethelm Kanjahn & Ms. Rebecca Bequette, SIL International, November 7, 2006,",decimal,decimal,"Central Mnong numeral system is decimal, Thousand is a loanword from Chamic language.",
4,chau1258-1,"Sanenyo (Chaura), Nicobar Islands, India",chau1258,Chaura,crv,Eurasia,8.45745,93.0331,Austroasiatic,Sanenyo-Chaura.htm,"Ms. Suyashi, PhD student and Prof. Anvita Abbi, Department of Linguistics, Jawaharlal Nehru University, New Delhi, India, May 16, 2018.",decimal,decimal,"Sanenyo Nicobarese (formerly called Chaura) has a decimal numeral system. This language is not a tonal language and spoken in Chaura Island, Nicobar group of Islands, India.",
4,chew1245-1,"Cheq Wong, Malaya Peninsula",chew1245,Chewong,cwg,Eurasia,3.83331,102.081,Austroasiatic,Chewong.htm,"Dr. Nicole Kruspe, Department of Linguistics, University of Melbourne, Australia, August 11, 2006.",NA,decimal,"Cheq Wong still has Mon-Khmer numbers one to four, after four, they use Malay numeral system with pronunciation modifications. No mixing of indigenous and borrowed terms is permitted.",
4,chon1284-1,"Chong, Cambodia, Thailand",chon1284,Chong of Chanthaburi,cog,Eurasia,12.5218,102.514,Austroasiatic,Chong.htm,"Prof. Suwilai Premsrirat, Dr. Isara Choosri and Miss Siripen Ungsitipoonporn. Mahidol University, Thailand, September 1, 2006.",NA,decimal,Chong numerals are similar to Khmer numerals.,
4,chon1284-2,"Chung, Cambodia, Thailand",chon1284,Chong of Chanthaburi,cog,Eurasia,12.5218,102.514,Austroasiatic,Chung-Saoch.htm,"Dr. Isara Choosri, Department of Linguistics, Mahidol University, Thailand, July 20, 2018.",decimal,decimal,"Chung [tɕṳˀŋ]or (called Sa'och) has a decimal system identical to that of Chong language in Thailand and Cambodia. Chung is an endangered language with 10 speakers, even elders rarely speak the language and are forgetting it (SIL 20th Ethnologue, 2009 J. Filipi), with decreasing. Ethnic population: 450. Total users in all countries: 30, spoken in Preah Sihanouk province: near Kampong Saom bay, east coast, but inland in Thailand and Cambodia, There are two varietiesː Chung Yuy spoken in and Chung Yul in Cambodia.",
4,chra1242-1,"Chrau, Vietnam",chra1242,Chrau,crw,Eurasia,10.8021,107.293,Austroasiatic,Chrau.htm,"Dr. David Thomas, Summer Institute of Linguistics, November 2, 1994.",decimal,decimal,Chrau numeral system is decimal.,
4,chut1247-1,"Chut ( Sach dialect), Vietnam",chut1247,Chut,scb,Eurasia,17.6819,105.773,Austroasiatic,Chut.htm,"Dr. Michael Ferlus, CNRS (Centre Nationale de Recherche Scientifique), Paris, France, April 6, 1999.",NA,decimal,Chut borrowed Vietnamese numerals after ten with pronunciation modifications.,
4,cuaa1241-1,"Cua, Vietnam",cuaa1241,Cua,cua,Eurasia,15.1688,108.431,Austroasiatic,Cua.htm,"Mr. & Mrs. John & Elizabeth Banker, Summer Institute of Linguistics, Thailand, October 5, 1993",decimal,decimal,Cua numeral system is decimal. Thousand is a loanword from Chamic language.,
4,dana1252-1,"Danaw, Myanmar",dana1252,Danau,dnu,Eurasia,20.4957,96.998,Austroasiatic,Danaw.htm,"Dr. Paul Sidwell, The Australian National University, Canberra, Australia, February 17, 2007. Extracted from Gordon H. Luce's field notes (1965).",decimal,decimal,"Danaw has a decimal system. The Danaw has 4 tonesː 1 high, 2 high falling, 3 level rising, 4 low falling. The symbols used on the dataː ă is a short vowel, ô is a close vowel between [o] and [u].",
4,east1236-1,"Eastern Katu, Vietnam",east1236,Eastern Katu,ktv,Eurasia,15.8553,107.644,Austroasiatic,Katu-Eastern.htm,"Mr. Ryan Gehrmann, Graduate Student, Linguistics Department, Payap University, Thailand, April 21, 2016..",decimal,NA,"Eastern Katu has a decimal numeral system similar to that of Pacoh, there are missing terms for the higher numbers after ten.",Data limited till 10.
4,east2330-1,"Eastern Lawa, Thailand",east2330,Eastern Lawa,lwl,Eurasia,19.0136,98.7613,Austroasiatic,Lawa-Eastern.htm,"Mr. Greg Blok, SIL International / MA student, Linguistics Department, Payap University, Thailand, April 15, 2012.",NA,NA,"The above data was taken from Bo Lung Lawa dialect of the Eastern Lawa. This language still retained their own numeral system and have not borrowed numerals from Tai language, except for the 1000.",Complicated data
4,east2332-1,"Eastern Bru, Laos",east2332,Eastern Bru,bru,Eurasia,17.1311,105.671,Austroasiatic,Eastern-Bru.htm,"Dr. Carolyn Miller, Summer Institute of Linguistics, Thailand, March 31, 2007",decimal,decimal,Eastern Bru has a decimal system.,Use of connective particle between atom and base.
4,east2333-1,"Eastern Mnong, Vietnam",east2333,Eastern Mnong,mng,Eurasia,12.3939,108.354,Austroasiatic,Mnong-Eastern.htm,"Ms. Evangeline Blood, Summer Institute of Linguistics, September 7, 1995.",NA,decimal,"Eastern Mnong numeral system is different from Central Mnong. numeral system, thousand is a loanword from Chamic language.",Use of connective particle between atom and base.
4,gata1239-1,"Gta' (Didey), India",gata1239,Gata',gaq,Eurasia,18.6076,82.984,Austroasiatic,Gta.htm,"Dr. Arun Ghosh, Burdwan University, West Bengal, India, September 20, 2006.",vigesimal,parallel,Gta' numeral system is vigesimal. Traditional numbers after seven have been replaced by Indo-Aryan loanwords.,"Traditional system is Vigesimal, borrowed IA system is Decimal. Both coexists."
4,hala1252-1,"Halang, Vietnam",hala1252,Halang,hal,Eurasia,14.7862,107.457,Austroasiatic,Halang.htm,"Mr. & Mrs. James & Nancy Cooper, Summer Institute of Linguistics, November 2, 1994",decimal,decimal,"Halang numeral system is decimal, Thousand is a loanword from Chamic language.",
4,hala1252-2,"Jeh, Vietnam",hala1252,Halang,hal,Eurasia,14.7862,107.457,Austroasiatic,Jeh.htm,"Dr. David Thomas, Summer Institute of Linguistics, Thailand, November 2, 1994. Extracted from SIL Survey list.",NA,decimal,Jeh numeral system is similar to Halang numeral system.,
4,hooo1248-1,"Ho, India",hooo1248,Ho,hoc,Eurasia,23.9596,87.1188,Austroasiatic,Ho.htm,"Miss Anna Pucilowski. PhD Student, Dept. of Linguistics, University of Oregon, Eugene, USA. March 28, 2012",vigesimal,vigesimal,"Ho has a traditional vigesimal system. There are two sets of cardinal numerals in Ho, one is the long form and the short forms are used before nouns. I only wrote the short forms for 1-10 but they are formed in the same way for the higher numbers. The higher numbers are borrowed from Hindi but people frequently use Hindi for the lower numbers too. They can say 'moe his ' but more commonly 'mi sao', a Hindi loanword.",
4,hooo1248-2,"Ho, India",hooo1248,Ho,hoc,Eurasia,23.9596,87.1188,Austroasiatic,Ho.htm,"Dr. Suhnu R. Sharma, Deccan Research College, Pune, India, April 16, 1990. Reference sourceː Burrows, Lionel, 1980. The Grammar of the Ho Language. Cosmo Publications, New Delhi, India",NA,vigesimal,Ho numeral system is similar to Santali numeral system.,
4,hree1244-1,"Hre, Vietnam",hree1244,Hre,hre,Eurasia,14.6308,108.694,Austroasiatic,Hre.htm,"Dr. David Thomas, Summer Institute of Linguistics, Thailand, November 2, 1994. Extracted from SIL Survey list, The Summer Institute of Linguistics",decimal,decimal,Hre has decimal numeral system.,
4,hung1275-1,"Hung (Toum, Tay Pong), Laos",hung1275,Hung,hnu,Eurasia,18.7849,104.772,Austroasiatic,Hung.htm,"Dr. Michael Ferlus, CNRS (Centre Nationale de Recherche Scientifique), Paris, France, April 6, 1999.",decimal,decimal,"Hung has a decimal system with laonwords from Lao. In Toum dialect, only numerals from 1 to 20 have been recorded; In Tay Pong dialect, they borrowed Lao numerals after ten.",
4,huuu1240-1,"Hu, China",huuu1240,Hu,huo,Eurasia,22.0163,100.881,Austroasiatic,Hu.htm,"Dr. Chen Guoqing, Chinese Academy of Social Sciences, Beijing, China, January 31, 2007.",decimal,decimal,"Hu has a decimal systems with loanwords for twenty, hundred and thousand from Tai language.",
4,jahh1242-1,"Jah Hut, Malaya Peninsula",jahh1242,Jah Hut,jah,Eurasia,3.67619,102.291,Austroasiatic,Jah-Hut.htm,"Prof. Gerard Diffloth, University of Chicago, USA, January 18, 1983.",NA,decimal,"Jah Hut only preserved Mon-Khmer number one and two, they use Malay numerals after two, It's uncertain if they constructed compound 11, 12, 21 and 22, and 100, 200, 1000 and 2000 by mixing Malay numerals with aboriginal terms, or completely borrowed Malay terms.",
4,jeha1242-1,"Jahai, Malaya Peninsula",jeha1242,Jehai,jhi,Eurasia,5.63695,101.541,Austroasiatic,Jahai.htm,"Dr. Niclas Burenhult, Max-Planck-Institute for Psycholinguistics, Netherlands, August 18, 2006. Mr. Timothy Phillips (SIL), November 17, 2009.",NA,decimal,"Jahai only has Mon-Khmer number one, they use Malay numeral system with pronunciation modifications.",
4,jeng1241-1,"Cheng (Jeng), Laos",jeng1241,Jeng,jeg,Eurasia,15.0392,107.147,Austroasiatic,Cheng.htm,"Miss Pascale Jacq, Linguistics Department, Australian National University, Australia, 11 October 11, 2006 Extracted from SIL linguistic survey list.",decimal,decimal,Cheng numeral system is decimal.,
4,jowa1238-1,"Pnar (Jowai Pnar), Assam, India",jowa1238,Jowai,NA,Eurasia,NA,NA,Austroasiatic,Pnar.htm,"Dr. Anne Daladier, LACITO-CNRS (Centre Nationale de Recherche Scientifique), Paris, France. October 19, 2011.",decimal,decimal,"Pnar has a decimal system. The above data is taken from Jowai Pnar. miː//ʃi (or wiː// ʧi) represents a contrastive pair. In English, 'one' has different mathematical uses which are disambiguised in Pnaric-War-Lyngngam with *mi and *ʧi. mi is mainly used as cardinal one, ʃi/ʧi is mainly used to count ‘one’ for measure units and to count ‘one’ for powers of ten. For example, in War ʃi phuːa ‘ten’, lit. ‘one-ten’, ʃi swaɁ ‘one hundred’. mi expresses cardinal ‘one’ in ‘one leave’; ʃi swaɁ mi ‘one hundred one’. ʃi/ʧi expresses one in measure units: ʃi khup ‘one breadth-of-four fingers’. ʃi/ʧi is also used as ‘one’ for units of time, e.g. the whole day, one month length. mi ‘one’ to express ‘one o’clock’ contrasts with ʃi to express ‘one hour’ as a unit of time. ʃi/ʧi may also be used for a unit whose cardinal value is not relevant or is undefined as in War ʃi dit ‘a little while’, ʃi kur ‘people from the same clan’, ʃi pero brothers and sisters from the same mother. This is a qualifying use v.s. quantifying use of previous examples. ʃi/ʧi is also used as a kind of aspectual device, as in War: ʃi pam ‘to cut in one blow’ (pam ‘to cut’). Pnar, Khasi and Lyngngam cardinals belong to a Pnaric system which slightly differs from a War one, more conservative from an AA viewpoint. Numerals expressing 1, 2, 3, 4, 5, 6, 10 have common roots but 7, 8, 9 and teens are different. In Pnar the loss of /m/ or /b/ in onset position of monosyllabic words is frequent, as in mi > wi (one), ba > wa (dependency marker). This loss is not found in lexical elements in Khasi and Lyngngam. The Khasi and Lyngngam cardinal systems are then derived from the Pnar one. References: Daladier A. 2010 ''Counting techniques with their “grouping” names in Pnar, War, Khasi and Lyngngam and their relation to Austroasiatic number systems'' presentation at  NEILS 5 Conference (to appear) Jenner, P., (1976). « Les noms de nombre en Khmer » in Diffloth, G. and Zide, N. eds. Austroasiatic Number Systems, (special issue), Linguistics : 39-61 Matisoff, James. 1997. Sino-Tibetan Numeral Systems: prefixes, proto-forms and problems. Canberra: Pacific Linguistics Mazaudon, M. (2010). “Number building in Tibeto-Burman languages” in Morey, Post eds. NEILS 2, India, CUP India Menninger, K. (1969). [1934]. Number words and number symbols. A cultural history of  numbers, Cambridge Mass.: M.I.T. Press Zide, N. (1978). Studies in the Munda numerals, Mysore: CIIL",
4,juan1238-1,"Juang, India",juan1238,Juang,jun,Eurasia,21.2606,85.5845,Austroasiatic,Juang.htm,"Mr. & Mrs. Swapna and Alexander, Wycliffe-India, March 21, 2013.",NA,decimal,"Juang has native Munda words only for 1, 2, 3, and 4. After which is all borrowed words from the LWC Oriya. This made me wonder and on enquiry was told that 5 was one hand 10 was 2 hands and 15 was 3 hands and then of course 20 was 4 hands. Then it was multiples of 20. The younger people do not know this nor use it. But they still say, for example, 72 as 3 twenty and twelve.",
4,juan1238-2,"Juang, India",juan1238,Juang,jun,Eurasia,21.2606,85.5845,Austroasiatic,Juang.htm,"Dr. Smita Sinha, Berhampur University, Orissa, India, October 15, 2006.",NA,NA,"Juang still has Munda numerals from 1 to 4, after four they use Oriya numerals.",Data is only till 20.
4,jura1242-1,"Juray, Odihsa, India",jura1242,Juray,juy,Eurasia,19.091,84.1204,Austroasiatic,Juray.htm,"Mr. Sam Robert M. A, M. Phil. (PhD research Scholar Kerala University) and Dr. A Rose Mary (Rtd. Professor Kerala University), Kerala, India, August 21, 2018.",NA,mixed,"Juray is spoken at Gajapati district in Odisha, India, Juray still has Munda numerals from 1 to 7, Oriya numerals were borrowed from eight onwards. Other high numbers: 400. uɲɟisɔː, 800. aʈəsɔ. Note that 'c' is the palatal plosive mostly found in many Indian languages, which is distinctive from the affricates such as in English word /teacher/.","Because of borrowing from IA, the system is mixed with decimal-vigesimal. Even crowns (40,60,80) are vigesimal and odd crowns (30,50,70,90) are decimal."
4,kaco1239-1,"Kaco' (Kachok), Cambodia",kaco1239,Kaco',xkk,Eurasia,13.8274,107.257,Austroasiatic,Kaco.htm,"Ms. Julie Barr, SIL International, February 1, 2007.",decimal,decimal,Kaco' has a decimal numeral system. Thousand is a loanword from Chamic language.,
4,kave1238-1,"Kravet (Kavet), Cambodia",kave1238,Kavet,krv,Eurasia,14.1796,106.586,Austroasiatic,Kavet.htm,"Ms. Jacqueline Jordi, Summer Institute of Linguistics, Thailand, October 10, 2006",NA,decimal,"Kravet is often regarded as a dialect of Brao, it's numeral system is the same with the Brao's, with the only difference is that they called a thousand ""helik"".",
4,kens1248-1,"Kensiw, Malaysia, Thailand",kens1248,Kensiu,kns,Eurasia,5.98085,101.026,Austroasiatic,Kensiw.htm,"Ms. Nancy Bishop & Ms. Mary M. Peterson, Summer Institute of Linguistics, Thailand, July 8, 1993 Mr. Timothy Phillips (SIL), November 17, 2009.",NA,NA,"Kensiw only preserved Mon-Khmer numbers one to two, they use Malay numeral system with pronunciation modification.",Data is available till 10 only.
4,khan1274-1,"Bumang, China",khan1274,Kháng,kjm,Eurasia,21.6624,103.736,Austroasiatic,Bumang.htm,"Dr. Daojie, Yunnan Nationalities University, Yunnan, China, February 3, 2007",NA,decimal,"Bumang is a recently (2006) discovered language spoken by 200 persons in two villages in Jinping Miao-Yao-Tai Autonomous county in Yunnan, South China. Bumang still retained traditional Mon-Khmer numerals from one to five, after five they use Tai numeral system. However, in numbers 100, 200, 1000 and 2000, they use indigenous numerals mix with borrowed term to express the big numbers. Bumang might be related to the Kháng language in the Khmuic group",
4,khan1274-2,"Kháng, Vietnam",khan1274,Kháng,kjm,Eurasia,21.6624,103.736,Austroasiatic,Khang.htm,"Prof. Jerry Edmondson, Department of Linguistics, University of Texas at Arlington, USA, June 23, 1998",NA,NA,"Kháng has traditional Mon-Khmer numerals one to four, after four they use Tai numeral system. Kháng might be related to the Bumang in Yunnan.",Limited data
4,khan1274-3,"Khao, Vietnam",khan1274,Kháng,kjm,Eurasia,21.6624,103.736,Austroasiatic,Khao.htm,"Dr. Michael Ferlus, CNRS (Centre Nationale de Recherche Scientifique), Paris, France, April 6, 1999.",NA,decimal,"Khao has traditional Mon-Khmer numerals from one to four, after four, they borrowed numerals from Tai language.",
4,khar1287-1,"Kharia, India",khar1287,Kharia,khr,Eurasia,22.3571,84.3922,Austroasiatic,Kharia.htm,"Rev. Noel Kotian, Bible Society of India, India, April 16, 1995",vigesimal,vigesimal,"Kharia numeral system is vigesimal, with Indo-Aryan loanwords mixing with indigenous terms. They might use Indo-Aryan numerals after ten now.",
